요일,통학방식,출발시간,도착시간,지각여부,소요시간,위도,경도
화,도보,7H 25M 0S,8H 35M 0S,정상 등교,1H 10M 0S,37.2225131,126.9766847
월,버스,8H 7M 0S,8H 36M 0S,정상 등교,29M 0S,37.2225131,126.9766847
금,버스,8H 0M 0S,8H 36M 0S,정상 등교,36M 0S,37.2225131,126.9766847
수,버스,8H 0M 0S,8H 40M 0S,정상 등교,40M 0S,37.2225131,126.9766847
금,버스,8H 0M 0S,8H 40M 0S,정상 등교,40M 0S,37.2225131,126.9766847
화,버스,8H 10M 0S,8H 55M 0S,지각,45M 0S,37.2225131,126.9766847
수,버스,7H 29M 0S,7H 55M 0S,정상 등교,26M 0S,37.2214059,126.9871955
화,버스,7H 28M 0S,7H 55M 0S,정상 등교,27M 0S,37.2214059,126.9871955
목,버스,7H 28M 0S,7H 55M 0S,정상 등교,27M 0S,37.2214059,126.9871955
화,버스,7H 26M 0S,7H 55M 0S,정상 등교,29M 0S,37.2214059,126.9871955
목,버스,7H 26M 0S,7H 55M 0S,정상 등교,29M 0S,37.2214059,126.9871955
수,버스,7H 27M 0S,7H 56M 0S,정상 등교,29M 0S,37.2214059,126.9871955
월,버스,7H 27M 0S,7H 56M 0S,정상 등교,29M 0S,37.2214059,126.9871955
월,버스,7H 26M 0S,7H 57M 0S,정상 등교,31M 0S,37.2214059,126.9871955
목,버스,7H 26M 0S,7H 57M 0S,정상 등교,31M 0S,37.2214059,126.9871955
금,버스,7H 27M 0S,7H 58M 0S,정상 등교,31M 0S,37.2214059,126.9871955
수,버스,7H 26M 0S,8H 0M 0S,정상 등교,1H -26M 0S,37.2214059,126.9871955
금,버스,7H 26M 0S,8H 0M 0S,정상 등교,1H -26M 0S,37.2214059,126.9871955
화,버스,7H 26M 0S,8H 0M 0S,정상 등교,1H -26M 0S,37.2214059,126.9871955
금,버스,7H 27M 0S,8H 29M 0S,정상 등교,1H 2M 0S,37.2214059,126.9871955
목,버스,7H 29M 0S,7H 56M 0S,정상 등교,27M 0S,37.2214059,126.9871955
